400|130|0.5|400|225|0
idle|30,31,32,33,34,35,36,37,38,39,40,41,42,43,44|3|0
singUP|80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103|-20|-94
singLEFT|45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64|-30|-20
singRIGHT|65,66,67,68,69,70,71,72,73,74,75,76,77,78,79|-51|-30
singDOWN|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29|-50|80
idle-loop|30,31,32,33,34,35,36,37,38,39,40,41,42,43,44|3|0
singLEFT-loop|45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64|-30|-20
singUP-loop|80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103|0|0
singRIGHT-loop|65,66,67,68,69,70,71,72,73,74,75,76,77,78,79|-51|-30
singDOWN-loop|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29|-50|80
