Cocoa|100|bf-christmas|gf|parents-christmas|1.5|mall
0|0|0|0|100|4|#0,0,0,#2,600,0,#0,900,0,#1,1350,0,#3,1650,0,#1,1950,0,#0,2100,0,
0|0|0|0|100|4|#0,2400,0,#2,3000,0,#0,3300,0,#1,3750,0,#3,4050,0,#1,4350,0,#0,4500,0,
0|0|0|0|100|4|#0,4800,0,#3,4950,0,#0,5100,0,#3,5250,0,#2,5400,0,#0,5700,0,#3,5850,0,#0,6000,0,#3,6150,0,#2,6300,0,#0,6600,0,#3,6750,0,#0,6900,0,#3,7050,0,
0|0|0|0|100|4|#2,7200,0,#0,7500,0,#3,7650,0,#0,7800,0,#3,7950,0,#2,8100,0,#0,8400,0,#3,8550,0,#0,8700,0,#3,8850,0,#2,9000,0,#1,9300,0,
1|0|0|0|100|4|#4,9600,0,#6,10200,0,#4,10500,0,#5,10950,0,#7,11250,0,#5,11550,0,#4,11700,0,
1|0|0|0|100|4|#4,12000,0,#6,12600,0,#4,12900,0,#5,13350,0,#7,13650,0,#5,13950,0,#4,14100,0,
1|0|0|0|100|4|#4,14400,0,#7,14550,0,#4,14700,0,#7,14850,0,#6,15000,0,#4,15300,0,#7,15450,0,#4,15600,0,#7,15750,0,#6,15900,0,#4,16200,0,#7,16350,0,#4,16500,0,#7,16650,0,
1|0|0|0|100|4|#6,16800,0,#4,17100,0,#7,17250,0,#4,17400,0,#7,17550,0,#6,17700,0,#4,18000,0,#7,18150,0,#4,18300,0,#7,18450,0,#6,18600,0,#5,18900,0,
0|1|0|0|100|4|#3,19500,150,#1,19800,450,#2,20400,1050,
0|1|0|0|100|4|#1,22500,0,#3,22650,0,#0,22800,150,#1,23100,0,#3,23400,0,#1,23700,0,
0|1|0|0|100|4|#0,24000,0,#3,24150,0,#0,24300,0,#3,24450,0,#2,24600,0,#0,24900,0,#3,25050,0,#0,25200,0,#3,25350,0,#2,25500,0,#0,25800,0,#3,25950,0,#0,26100,0,#3,26250,0,
0|1|0|0|100|4|#2,26400,0,#0,26700,0,#3,26850,0,#0,27000,0,#3,27150,0,#2,27300,0,#0,27600,0,#3,27750,0,#0,27900,0,#3,28050,0,#2,28200,0,#1,28500,0,
1|0|0|0|100|4|#2,28800,600,#7,29100,150,#5,29400,450,#6,30000,1050,
1|0|0|0|100|4|#5,32100,0,#7,32250,0,#4,32400,150,#5,32700,0,#7,33000,0,#5,33300,0,
1|0|0|0|100|4|#4,33600,0,#7,33750,0,#4,33900,0,#7,34050,0,#6,34200,0,#4,34500,0,#7,34650,0,#4,34800,0,#7,34950,0,#6,35100,0,#4,35400,0,#7,35550,0,#4,35700,0,#7,35850,0,
