dadbattle|180|bf|gf|dad|2.3|stage
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#2,10666.67,0,#0,11000,0,#1,11166.67,0,#2,11333.33,0,#0,11666.67,0,#3,11833.33,0,
0|0|0|0|100|4|#2,12000,0,#3,12166.67,0,#0,12333.33,0,#1,12500,0,#2,12666.67,0,#0,13000,0,#3,13166.67,0,
1|0|0|0|100|4|#6,13333.33,0,#4,13666.67,0,#5,13833.33,0,#6,14000,0,#4,14333.33,0,#7,14500,0,
1|0|0|0|100|4|#6,14666.67,0,#7,14833.33,0,#4,15000,0,#5,15166.67,0,#6,15333.33,0,#4,15666.67,0,#7,15833.33,0,
0|0|0|0|100|4|#1,16000,0,#0,16333.33,0,#3,16500,0,#1,16666.67,0,#2,17000,0,
0|0|0|0|100|4|#1,17333.33,0,#0,17666.67,0,#0,17833.33,0,#3,18000,0,#3,18166.67,0,#3,18333.33,0,#3,18500,0,
1|0|0|0|100|4|#5,18666.67,0,#4,19000,0,#7,19166.67,0,#5,19333.33,0,#6,19666.67,0,
1|0|0|0|100|4|#5,20000,0,#4,20333.33,0,#4,20500,0,#7,20666.67,0,#7,20833.33,0,#7,21000,0,#7,21166.67,0,
0|0|0|0|100|4|#2,21666.67,0,#1,21833.33,0,#3,22000,0,
0|0|0|0|100|4|#1,22833.33,0,#3,23000,0,#0,23333.33,0,
0|0|0|0|100|4|#2,24333.33,0,#1,24666.67,0,#0,25000,0,#1,25166.67,0,
0|0|0|0|100|4|#2,25333.33,0,#3,25500,0,#0,25666.67,0,#3,25833.33,0,#2,26000,0,
1|0|0|0|100|4|#6,27000,0,#5,27166.67,0,#7,27333.33,0,
1|0|0|0|100|4|#5,28166.67,0,#7,28333.33,0,#4,28666.67,0,
1|0|0|0|100|4|#6,29666.67,0,#5,30000,0,#4,30333.33,0,#5,30500,0,
1|0|0|0|100|4|#0,30666.67,0,#6,30666.67,0,#1,30833.33,0,#7,30833.33,0,#2,31000,0,#4,31000,0,#3,31166.67,0,#7,31166.67,0,#2,31333.33,0,#6,31333.33,0,#1,31500,0,#0,31666.67,0,#1,31833.33,0,
