Eggnog|150|bf-christmas|gf|parents-christmas|1.9|mall
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#1,3400,0,#1,3800,0,#1,4200,0,#3,4400,0,#2,4600,0,
0|0|0|0|100|4|#1,5000,0,#1,5400,0,#3,5600,0,#2,5800,0,#3,6000,0,#1,6200,0,
0|0|0|0|100|4|#1,6600,0,#1,7000,0,#1,7400,0,#3,7600,0,#2,7800,0,
0|0|0|0|100|4|#1,8200,0,#1,8600,0,#3,8800,0,#2,9000,0,#0,9200,0,#1,9400,0,
1|0|0|0|100|4|#5,9800,0,#5,10200,0,#5,10600,0,#7,10800,0,#6,11000,0,
1|0|0|0|100|4|#5,11400,0,#5,11800,0,#7,12000,0,#6,12200,0,#7,12400,0,#5,12600,0,
1|0|0|0|100|4|#5,13000,0,#5,13400,0,#5,13800,0,#7,14000,0,#6,14200,0,
1|0|0|0|100|4|#5,14600,0,#5,15000,0,#7,15200,0,#6,15400,0,#4,15600,0,#5,15800,0,
0|1|0|0|100|4|#2,16000,0,#0,16100,0,#3,16200,100,#1,16400,0,#2,16500,200,#3,16800,100,#0,17200,0,#2,17400,0,
0|1|0|0|100|4|#0,17800,0,#0,18200,0,#0,18600,0,#1,18700,0,#2,18800,0,#3,19000,400,
0|1|0|0|100|4|#1,19600,100,#3,20000,100,#1,20400,0,#0,20600,0,
0|1|0|0|100|4|#0,21000,0,#1,21400,0,#1,21800,0,#2,22000,300,
1|1|0|0|100|4|#0,22400,400,#6,22400,0,#4,22500,0,#7,22600,100,#5,22800,0,#6,22900,200,#7,23200,100,#4,23600,0,#6,23800,0,
1|0|0|0|100|4|#4,24200,0,#4,24600,0,#4,25000,0,#5,25100,0,#6,25200,0,#7,25400,400,
1|0|0|0|100|4|#5,26000,100,#7,26400,100,#5,26800,0,#4,27000,0,
1|0|0|0|100|4|#4,27400,0,#5,27800,0,#5,28200,0,#6,28400,300,
0|0|0|0|100|4|#4,28800,400,#3,29000,0,#1,29200,0,#0,29400,0,#3,29500,0,#2,29600,0,#3,29800,0,#1,30000,0,#0,30200,0,#3,30300,0,
0|0|0|0|100|4|#2,30400,0,#3,30600,0,#1,30800,0,#0,31000,0,#3,31100,0,#2,31200,0,#3,31400,0,#3,31600,0,#0,31800,0,
