Guns|185|bf|gf|tankman|2.5|tankstage
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#1,10378.38,0,#0,10540.54,0,#3,10702.7,243.2432,#2,11027.03,0,#3,11189.19,0,#0,11351.35,0,#3,11513.51,0,
0|0|0|0|100|4|#1,11675.67,0,#0,11837.84,0,#1,12000,0,#0,12162.16,0,#2,12324.32,162.1622,#1,12648.65,162.1622,
0|0|0|0|100|4|#1,12972.97,0,#2,13297.3,0,#0,13621.62,0,#0,13702.7,0,#0,13783.78,0,#1,13945.95,0,
0|0|0|0|100|4|#2,14270.27,0,#3,14432.43,0,#1,14594.59,0,#3,14756.76,0,#0,14918.92,0,#3,15081.08,0,#1,15243.24,0,#3,15405.4,0,
1|0|0|0|100|4|#5,15567.57,0,#4,15729.73,0,#7,15891.89,243.2432,#6,16216.21,0,#7,16378.38,0,#4,16540.54,0,#7,16702.7,0,
1|0|0|0|100|4|#5,16864.86,0,#4,17027.03,0,#5,17189.19,0,#4,17351.35,0,#6,17513.51,162.1622,#5,17837.84,162.1622,
1|0|0|0|100|4|#5,18162.16,0,#6,18486.48,0,#4,18810.81,0,#4,18891.89,0,#4,18972.97,0,#5,19135.13,0,
1|0|0|0|100|4|#6,19459.46,0,#7,19621.62,0,#5,19783.78,0,#7,19945.95,0,#4,20108.11,0,#7,20270.27,0,#5,20432.43,0,#7,20594.59,0,
0|0|0|0|100|4|#0,20756.76,243.2432,#1,21081.08,0,#3,21243.24,0,#0,21405.4,243.2432,#1,21729.73,0,#2,21891.89,0,
0|0|0|0|100|4|#3,22054.05,0,#1,22216.21,0,#3,22378.38,0,#2,22540.54,0,#0,22702.7,0,#1,22864.86,0,#3,23027.03,0,#2,23189.19,0,
0|0|0|0|100|4|#1,23513.51,0,#2,24324.32,0,#0,24486.48,0,#1,23594.59,0,false#0,23675.68,0,false#3,24000,0,false#1,23837.84,0,false#3,24162.16,0,false#1,23351.35,0,false
0|0|0|0|100|4|#2,25297.29,0,#3,25378.38,0,#0,25459.46,0,#1,25621.62,0,#0,25702.7,0,#3,25783.78,0,#2,24648.65,0,false#3,24810.81,0,false#0,24972.97,0,false#3,25135.13,0,false
