High|125|bf-car|gf-car|mom|2|limo
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#0,3840,0,#0,4320,0,#3,4560,0,#2,4800,0,#0,4920,0,#3,5160,0,#0,5520,0,
0|0|0|0|100|4|#0,5760,0,#0,6240,0,#3,6480,0,#2,6720,0,#0,6840,0,#3,7080,0,#0,7440,0,#0,7560,0,
0|0|0|0|100|4|#0,7680,0,#0,8160,0,#3,8400,0,#2,8640,0,#3,8760,0,#0,9000,0,#3,9360,0,
0|0|0|0|100|4|#2,9600,0,#3,9720,0,#2,9840,0,#3,9960,0,#0,10080,0,#0,10320,0,#1,10440,0,#3,10560,0,#2,10800,0,#2,11040,0,#3,11160,0,#0,11280,0,
1|0|0|0|100|4|#4,11520,0,#4,12000,0,#7,12240,0,#6,12480,0,#4,12600,0,#7,12840,0,#4,13200,0,
1|0|0|0|100|4|#4,13440,0,#4,13920,0,#7,14160,0,#6,14400,0,#4,14520,0,#7,14760,0,#4,15120,0,#4,15240,0,
1|0|0|0|100|4|#4,15360,0,#4,15840,0,#7,16080,0,#6,16320,0,#7,16440,0,#4,16680,0,#7,17040,0,
1|0|0|0|100|4|#2,17280,360,#6,17280,0,#7,17400,0,#6,17520,0,#7,17640,0,#3,17760,360,#4,17760,0,#4,18000,0,#5,18120,0,#0,18240,360,#7,18240,0,#6,18480,0,#1,18720,360,#6,18720,0,#7,18840,0,#4,18960,0,
0|0|0|0|100|4|#2,19200,0,#1,19440,0,#0,19560,0,#3,19680,0,#1,20040,0,#3,20160,0,#3,20520,0,#3,20880,0,#2,21000,240,
0|0|0|0|100|4|#1,21360,0,#0,21480,0,#3,21600,0,#1,21960,0,#0,22080,0,#1,22200,0,#3,22440,0,#2,22800,0,#0,22920,0,
0|0|0|0|100|4|#0,23280,0,#2,23400,0,#3,23520,0,#3,23880,0,#2,24000,0,#2,24360,0,#2,24720,0,#2,24840,0,
0|0|0|0|100|4|#6,24960,360,#2,24960,0,#3,25080,0,#0,25200,0,#7,25440,360,#2,25440,0,#0,25680,0,#4,25920,360,#2,25920,0,#3,26040,0,#0,26160,0,#1,26280,0,#5,26400,360,#3,26400,0,#0,26520,0,#1,26640,0,#3,26760,0,
1|0|0|0|100|4|#6,26880,0,#5,27120,0,#4,27240,0,#7,27360,0,#5,27720,0,#7,27840,0,#7,28200,0,#7,28560,0,#6,28680,240,
