philly-nice|175|bf|gf|pico|2|pico
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#2,2914.286,0,#0,3085.714,0,#1,3428.571,257.1429,#3,3771.428,171.4286,
0|0|0|0|100|4|#2,4285.714,0,#0,4457.143,0,#1,4800,257.1429,#3,5142.857,171.4286,
0|0|0|0|100|4|#2,5657.143,0,#0,5828.571,0,#1,6171.429,257.1429,#3,6514.286,171.4286,
0|0|0|0|100|4|#0,6857.143,0,#3,7028.571,0,#2,7200,0,#2,7542.857,0,#0,7885.714,0,#0,8057.143,0,
1|0|0|0|100|4|#6,8400,0,#4,8571.429,0,#5,8914.285,257.1429,#7,9257.143,171.4286,
1|0|0|0|100|4|#6,9771.429,0,#4,9942.857,0,#5,10285.71,257.1429,#7,10628.57,171.4286,
1|0|0|0|100|4|#6,11142.86,0,#4,11314.29,0,#5,11657.14,257.1429,#7,12000,171.4286,
1|0|0|0|100|4|#4,12342.86,0,#7,12514.29,0,#6,12685.71,0,#6,13028.57,0,#4,13371.43,0,
0|0|0|0|100|4|#2,13885.71,0,#0,14057.14,0,#0,14400,0,#3,14742.86,0,#1,14914.29,0,
0|0|0|0|100|4|#3,15257.14,0,#0,15428.57,0,#2,15771.43,0,#0,16114.29,0,#1,16285.71,0,
0|0|0|0|100|4|#0,16628.57,0,#1,16800,0,#3,16971.43,0,#1,17142.86,0,#0,17314.29,0,#1,17485.71,0,#3,17657.14,0,#0,17742.86,0,
0|0|0|0|100|4|#3,17828.57,0,#3,18000,0,#1,18171.43,0,#2,18514.29,0,#2,18857.14,0,#3,19028.57,0,
1|0|0|0|100|4|#6,19371.43,0,#4,19542.86,0,#4,19885.71,0,#7,20228.57,0,#5,20400,0,
1|0|0|0|100|4|#7,20742.86,0,#4,20914.29,0,#6,21257.14,0,#4,21600,0,#5,21771.43,0,
1|0|0|0|100|4|#4,22114.29,0,#5,22285.71,0,#7,22457.14,0,#5,22628.57,0,#4,22800,0,#5,22971.43,0,#7,23142.86,0,#4,23228.57,0,
1|0|0|0|100|4|#7,23314.29,0,#7,23485.71,0,#5,23657.14,0,#6,24000,0,#6,24342.86,0,#7,24514.29,0,
0|0|0|0|100|4|#2,24685.71,0,#2,24857.14,0,#0,25028.57,0,#0,25371.43,0,#3,25714.29,0,#1,25885.71,0,
