Roses|120|bf-pixel|gf-pixel|senpai-angry|1.5|school
0|0|0|0|100|4|#3,500,0,#1,750,0,#0,1000,250,#1,1375,0,#2,1875,0,
0|0|0|0|100|4|#2,2125,0,#2,2375,0,#0,2500,0,#1,2625,0,#0,2750,0,#3,3000,250,#3,3375,0,#0,3625,0,#1,3875,0,
1|0|0|0|100|4|#7,4500,0,#5,4750,0,#4,5000,250,#5,5375,0,#6,5875,0,
1|0|0|0|100|4|#6,6125,0,#6,6375,0,#4,6500,0,#5,6625,0,#4,6750,0,#7,7000,250,#7,7375,0,#4,7625,0,#5,7875,0,
0|0|0|0|100|4|#2,8000,125,#3,8250,0,#2,8500,0,#1,8625,0,#0,8750,0,#3,8875,250,#1,9250,0,#0,9500,0,#1,9750,0,#3,9875,250,
0|0|0|0|100|4|#1,10250,0,#3,10500,0,#2,10750,0,#3,10875,250,#1,11250,0,#0,11500,0,#3,11750,0,
1|0|0|0|100|4|#6,12000,125,#7,12250,0,#6,12500,0,#5,12625,0,#4,12750,0,#7,12875,250,#5,13250,0,#4,13500,0,#5,13750,0,#7,13875,250,
1|0|0|0|100|4|#5,14250,0,#7,14500,0,#6,14750,0,#7,14875,250,#5,15250,0,#4,15500,0,#7,15750,0,
0|0|0|0|100|4|#0,16500,0,#2,16625,0,#0,16750,0,#2,16875,0,#3,17000,125,#1,17250,0,#0,17500,0,#3,17750,0,
0|0|0|0|100|4|#0,18000,0,#3,18250,0,#0,18500,0,#2,18750,0,#3,19000,0,#1,19250,0,#0,19500,0,#3,19750,0,
1|0|0|0|100|4|#4,20500,0,#6,20625,0,#4,20750,0,#6,20875,0,#7,21000,125,#5,21250,0,#4,21500,0,#7,21750,0,
1|0|0|0|100|4|#4,22000,0,#7,22250,0,#4,22500,0,#6,22750,0,#7,23000,0,#5,23250,0,#4,23500,0,#7,23750,0,
0|0|0|0|100|4|#2,24000,0,#0,24250,0,#1,24375,0,#0,24625,0,#3,24750,0,#3,25000,0,#1,25250,0,#3,25375,0,#0,25625,0,#3,25750,0,#1,25875,0,
0|0|0|0|100|4|#2,26000,0,#0,26250,0,#1,26375,0,#0,26625,0,#3,26750,0,#3,27000,0,#1,27250,0,#3,27375,0,#0,27625,0,#3,27750,0,
1|0|0|0|100|4|#6,28000,0,#4,28250,0,#5,28375,0,#4,28625,0,#7,28750,0,#7,29000,0,#5,29250,0,#7,29375,0,#4,29625,0,#7,29750,0,#5,29875,0,
1|0|0|0|100|4|#6,30000,0,#4,30250,0,#5,30375,0,#4,30625,0,#7,30750,0,#7,31000,0,#5,31250,0,#7,31375,0,#4,31625,0,#7,31750,0,
0|0|0|0|100|4|#0,32000,0,#1,32250,0,#0,32375,0,#3,32500,0,#1,32750,0,#2,33000,0,#1,33250,0,#3,33375,0,#1,33625,0,#0,33750,0,
0|0|0|0|100|4|#1,34000,0,#1,34250,0,#0,34375,0,#3,34500,0,#1,34750,0,#2,35000,0,#1,35250,0,#3,35375,0,#1,35625,0,#0,35750,0,
1|0|0|0|100|4|#4,36000,0,#5,36250,0,#4,36375,0,#7,36500,0,#5,36750,0,#6,37000,0,#5,37250,0,#7,37375,0,#5,37625,0,#4,37750,0,
1|0|0|0|100|4|#5,38000,0,#5,38250,0,#4,38375,0,#7,38500,0,#5,38750,0,#6,39000,0,#5,39250,0,#7,39375,0,#5,39625,0,#4,39750,0,
0|0|0|0|100|4|#1,40000,0,#0,40125,0,#0,40250,0,#3,40375,0,#2,40500,0,#2,40625,0,#3,40750,0,#2,41000,0,#0,41250,0,#1,41375,0,#1,41500,0,#1,41625,0,#3,41750,0,
0|0|0|0|100|4|#1,42000,0,#0,42250,0,#3,42375,0,#2,42500,0,#2,42625,0,#3,42750,0,#2,43000,0,#0,43250,0,#3,43375,0,#1,43625,0,#3,43750,0,
1|0|0|0|100|4|#5,44000,0,#4,44125,0,#4,44250,0,#7,44375,0,#6,44500,0,#6,44625,0,#7,44750,0,#6,45000,0,#4,45250,0,#5,45375,0,#5,45500,0,#5,45625,0,#7,45750,0,
1|0|0|0|100|4|#5,46000,0,#4,46250,0,#7,46375,0,#6,46500,0,#6,46625,0,#7,46750,0,#6,47000,0,#4,47250,0,#7,47375,0,#5,47625,0,#7,47750,0,
