Senpai|144|bf-pixel|gf-pixel|senpai|1.3|school
0|0|0|0|100|4|#3,0,0,#3,416.6667,0,#0,625,0,#2,833.3333,312.5,#1,1250,208.3333,
0|0|0|0|100|4|#3,1666.667,416.6667,#1,2291.667,833.3333,
1|0|0|0|100|4|#7,3333.333,0,#7,3750,0,#4,3958.333,0,#6,4166.667,312.5,#5,4583.333,208.3333,
1|0|0|0|100|4|#7,5000,312.5,#6,5416.667,0,#7,5625,312.5,#6,6041.667,0,#7,6250,0,
0|0|0|0|100|4|#5,6666.667,0,#1,6666.667,0,#5,7083.333,0,#1,7083.333,0,#3,7291.667,0,#4,7291.667,0,#2,7500,312.5,#6,7500,312.5,#5,7916.667,0,#1,7916.667,0,
1|0|0|0|100|4|#0,8333.333,312.5,#7,8333.333,312.5,#5,8750,0,#1,8750,0,#3,8958.333,312.5,#4,8958.333,312.5,#5,9375,0,#1,9375,0,#4,9583.333,0,#0,9583.333,0,#3,9583.333,0,#7,9583.333,0,
0|0|0|0|100|4|#3,10000,0,#4,10000,0,#5,10416.67,0,#1,10416.67,0,#0,10833.33,0,#7,10833.33,0,#3,11041.67,0,#4,11041.67,0,#1,11250,208.3333,#5,11250,208.3333,
1|0|0|0|100|4|#0,11666.67,0,#7,11666.67,0,#3,11875,0,#4,11875,0,#1,12083.33,0,#5,12083.33,0,#0,12291.67,0,#7,12291.67,0,#2,12500,0,#6,12500,0,#0,12708.33,0,#7,12708.33,0,#3,12916.67,0,#4,12916.67,0,#2,13125,0,#6,13125,0,
0|0|0|0|100|4|#2,13750,208.3333,#1,14166.67,520.8333,#3,14791.67,625,
0|0|0|0|100|4|#0,15625,0,#2,15729.17,0,#3,16041.67,0,#1,16250,208.3333,
0|0|0|0|100|4|#3,16666.67,312.5,#1,17083.33,0,#0,17291.67,937.5,
0|0|0|0|100|4|#1,18333.33,416.6667,#0,18958.33,520.8333,#3,19583.33,312.5,
1|0|0|0|100|4|#1,20000,416.6667,#6,20416.67,208.3333,#5,20833.33,520.8333,#7,21458.33,625,
1|0|0|0|100|4|#4,22291.67,0,#6,22395.83,0,#7,22708.33,0,#5,22916.67,208.3333,
1|0|0|0|100|4|#7,23333.33,312.5,#5,23750,0,#4,23958.33,937.5,
1|0|0|0|100|4|#5,25000,416.6667,#4,25625,520.8333,#7,26250,312.5,
0|0|0|0|100|4|#5,26666.67,729.1666,#0,26666.67,0,#3,26770.83,0,#1,26875,0,#3,26979.17,0,#0,27083.33,0,#1,27291.67,0,#7,27500,729.1666,#2,27500,0,#0,27708.33,0,#3,27916.67,0,#0,28125,0,
1|0|0|0|100|4|#4,28333.33,729.1666,#3,28333.33,208.3333,#1,28750,208.3333,#7,29166.67,729.1666,#2,29166.67,0,#3,29375,0,#0,29583.33,312.5,
0|0|0|0|100|4|#6,30000,729.1666,#3,30000,0,#1,30416.67,0,#0,30625,625,#7,30833.33,729.1666,#3,31458.33,416.6667,
1|0|0|0|100|4|#4,31666.67,729.1666,#1,32083.33,0,#3,32291.67,0,#5,32500,625,#3,32500,0,#0,32708.33,0,#1,32916.66,208.3333,
1|0|0|0|100|4|#4,33333.33,0,#7,33437.5,0,#5,33541.66,0,#7,33645.83,0,#4,33750,0,#5,33958.33,0,#6,34166.66,0,#4,34375,0,#7,34583.33,0,#4,34791.66,0,
1|0|0|0|100|4|#7,35000,208.3333,#5,35416.66,208.3333,#6,35833.33,0,#7,36041.66,0,#4,36250,312.5,
1|0|0|0|100|4|#7,36666.66,0,#5,37083.33,0,#4,37291.66,625,#7,38125,416.6667,
1|0|0|0|100|4|#5,38750,0,#7,38958.33,0,#7,39166.66,0,#4,39375,0,#5,39583.33,208.3333,
0|0|0|0|100|4|#2,40000,312.5,#6,40000,416.6667,#0,40416.66,0,#1,40520.83,0,#0,40625,0,#1,40729.16,0,#3,40833.33,312.5,#1,41250,0,#0,41458.33,625,
0|0|0|0|100|4|#1,42291.66,312.5,#3,42708.33,312.5,#0,43125,0,
0|0|0|0|100|4|#3,43333.33,312.5,#0,43750,0,#2,43958.33,312.5,#0,44375,0,#2,44583.33,0,#0,44791.66,0,
0|0|0|0|100|4|#3,45000,0,#1,45208.33,0,#0,45312.5,0,#3,45416.66,0,#1,45625,0,#3,45833.33,0,#2,46041.66,0,#3,46250,0,#0,46458.33,0,
1|0|0|0|100|4|#6,46666.66,312.5,#4,47083.33,0,#5,47187.5,0,#4,47291.66,0,#5,47395.83,0,#7,47500,312.5,#5,47916.66,0,#4,48125,625,
1|0|0|0|100|4|#5,48958.33,312.5,#7,49375,312.5,#4,49791.66,0,
1|0|0|0|100|4|#7,50000,312.5,#4,50416.66,0,#6,50625,312.5,#4,51041.66,0,#6,51250,0,#4,51458.33,0,
1|0|0|0|100|4|#7,51666.66,0,#5,51875,0,#4,51979.16,0,#7,52083.33,0,#5,52291.66,0,#7,52500,0,#6,52708.33,0,#7,52916.66,0,#4,53125,0,
0|0|0|0|100|4|#3,53333.33,0,#7,53333.33,416.6667,#3,53750,0,#0,53958.33,0,#2,54166.66,312.5,#1,54583.33,208.3333,
0|0|0|0|100|4|#3,55000,416.6667,#1,55625,833.3333,
1|0|0|0|100|4|#7,56666.66,0,#7,57083.33,0,#4,57291.66,0,#6,57500,312.5,#5,57916.66,208.3333,
1|0|0|0|100|4|#7,58333.33,312.5,#6,58750,0,#7,58958.33,312.5,#6,59375,0,#7,59583.33,0,
0|0|0|0|100|4|#5,60000,0,#1,60000,0,#5,60416.66,0,#1,60416.66,0,#3,60625,0,#4,60625,0,#2,60833.33,312.5,#6,60833.33,312.5,#5,61250,0,#1,61250,0,
1|0|0|0|100|4|#0,61666.66,312.5,#7,61666.66,312.5,#5,62083.33,0,#1,62083.33,0,#3,62291.66,312.5,#4,62291.66,312.5,#5,62708.33,0,#1,62708.33,0,#4,62916.66,0,#0,62916.66,0,#3,62916.66,0,#7,62916.66,0,
0|0|0|0|100|4|#3,63333.33,0,#4,63333.33,0,#5,63750,0,#1,63750,0,#0,64166.66,0,#7,64166.66,0,#3,64375,0,#4,64375,0,#1,64583.33,208.3333,#5,64583.33,208.3333,
1|0|0|0|100|4|#0,65000,0,#7,65000,0,#3,65208.33,0,#4,65208.33,0,#1,65416.66,0,#5,65416.66,0,#0,65625,0,#7,65625,0,#2,65833.33,0,#6,65833.33,0,#0,66041.66,0,#7,66041.66,0,#3,66250,0,#4,66250,0,#2,66458.33,0,#6,66458.33,0,
0|0|0|0|100|4|#1,66666.66,0,#3,66875,0,#0,67083.33,0,#3,67291.66,0,#1,67500,0,#3,67708.33,0,#0,67916.66,0,#3,68125,0,
