south|165|bf|gf|spooky|2.2|spooky
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#3,11636.36,0,#3,12000,0,#0,12363.64,0,#3,12545.45,0,#2,12727.27,0,#3,12909.09,0,
0|0|0|0|100|4|#0,13090.91,0,#1,13454.54,0,#3,13818.18,0,#3,14000,0,#3,14181.82,181.8182,
0|0|0|0|100|4|#3,14545.45,0,#3,14909.09,0,#3,15272.73,0,#2,15454.54,0,#0,15636.36,0,#1,15818.18,0,
0|0|0|0|100|4|#0,16000,0,#0,16363.64,0,#2,16727.27,0,#0,17090.91,0,#3,17272.73,0,
1|0|0|0|100|4|#7,17454.54,0,#7,17818.18,0,#4,18181.82,0,#7,18363.64,0,#6,18545.46,0,#7,18727.27,0,
1|0|0|0|100|4|#4,18909.09,0,#5,19272.73,0,#7,19636.36,0,#7,19818.18,0,#7,20000,181.8182,
1|0|0|0|100|4|#7,20363.64,0,#7,20727.27,0,#7,21090.91,0,#6,21272.73,0,#4,21454.54,0,#5,21636.36,0,
1|0|0|0|100|4|#4,21818.18,0,#4,22181.82,0,#6,22545.46,0,#4,22909.09,0,#7,23090.91,0,
0|0|0|0|100|4|#2,23272.73,0,#1,23454.54,0,#0,23636.36,0,#0,23818.18,0,#3,23909.09,0,#2,24000,0,#0,24181.82,0,#2,24363.64,0,#1,24545.46,0,
0|0|0|0|100|4|#2,24727.27,0,#2,25090.91,0,#2,25454.54,0,#1,25636.36,0,#0,25818.18,0,#3,26000,0,
0|0|0|0|100|4|#0,26181.82,0,#0,26545.46,0,#0,26727.27,0,#2,26818.18,0,#3,26909.09,0,#0,27090.91,0,#1,27272.73,0,#3,27454.54,0,
0|0|0|0|100|4|#2,27636.36,0,#2,28000,0,#2,28363.64,0,#3,28545.46,0,#0,28727.27,0,#1,28909.09,0,
1|0|0|0|100|4|#6,29090.91,0,#5,29272.73,0,#4,29454.54,0,#4,29636.36,0,#7,29727.27,0,#6,29818.18,0,#4,30000,0,#6,30181.82,0,#5,30363.64,0,
1|0|0|0|100|4|#6,30545.46,0,#6,30909.09,0,#6,31272.73,0,#5,31454.54,0,#4,31636.36,0,#7,31818.18,0,
