spookeez|150|bf|gf|spooky|2.4|spooky
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#0,6400,0,#1,6600,0,#3,6800,0,#3,7200,0,#2,7600,0,#3,7800,0,
0|0|0|0|100|4|#1,8000,0,#3,8200,0,#3,8400,0,#2,8800,0,#0,9200,0,#3,9400,0,
1|0|0|0|100|4|#4,9600,0,#5,9800,0,#7,10000,0,#7,10400,0,#6,10800,0,#7,11000,0,
1|0|0|0|100|4|#5,11200,0,#7,11400,0,#7,11600,0,#6,12000,0,#4,12400,0,#7,12600,0,
0|0|0|0|100|4|#2,12800,0,#3,13000,0,#1,13100,0,#0,13200,0,#0,13400,0,#2,13600,0,#3,13800,0,#1,14000,0,
0|0|0|0|100|4|#1,14400,0,#0,14600,0,#1,14700,0,#3,14800,0,#3,15000,0,#0,15200,0,#0,15400,0,#2,15600,0,
1|0|0|0|100|4|#6,16000,0,#7,16200,0,#5,16300,0,#4,16400,0,#4,16600,0,#6,16800,0,#7,17000,0,#5,17200,0,
1|0|0|0|100|4|#5,17600,0,#4,17800,0,#5,17900,0,#7,18000,0,#7,18200,0,#4,18400,0,#4,18600,0,#0,18800,0,#3,19000,0,#6,18800,0,2
0|0|0|0|100|4|#2,19200,0,#3,19400,0,#1,19500,0,#3,19600,0,#3,20000,0,#3,20300,0,#3,20600,0,
0|0|0|0|100|4|#2,20800,0,#0,21000,0,#1,21100,0,#3,21200,0,#3,21600,0,#1,21900,0,#3,22000,0,#3,22200,0,
0|0|0|0|100|4|#2,22400,0,#3,22600,0,#1,22700,0,#3,22800,0,#3,23200,0,#3,23500,0,#3,23800,0,
0|0|0|0|100|4|#2,24000,0,#0,24200,0,#1,24300,0,#3,24400,0,#1,24800,0,#2,25200,0,#4,25200,0,#2,25400,0,#7,25400,0,
1|0|0|0|100|4|#6,25600,0,#7,25800,0,#5,25900,0,#7,26000,0,#7,26400,0,#7,26700,0,#7,27000,0,
1|0|0|0|100|4|#6,27200,0,#4,27400,0,#5,27500,0,#7,27600,0,#7,28000,0,#5,28300,0,#7,28400,0,#7,28600,0,
1|0|0|0|100|4|#6,28800,0,#7,29000,0,#5,29100,0,#7,29200,0,#7,29600,0,#7,29900,0,#7,30200,0,
