Stress|178|bf-holding-gf|pico-speaker|tankman|2.6|tankstage
0|0|0|0|100|4|#1,0,0,#2,168.5393,0,#0,337.0786,0,#0,505.618,0,#2,674.1573,0,#3,842.6967,0,#1,1011.236,0,#3,1179.775,0,
0|0|0|0|100|4|#0,1348.315,0,#3,1516.854,0,#2,1685.393,0,#3,1853.933,0,#1,2022.472,0,#3,2191.011,0,#0,2359.551,0,#3,2528.09,0,
0|0|0|0|100|4|#1,2696.629,0,#2,2865.168,0,#0,3033.708,0,#0,3202.247,0,#2,3370.787,0,#3,3539.326,0,#1,3707.865,0,#3,3876.405,0,
0|0|0|0|100|4|#0,4044.944,0,#3,4213.483,0,#2,4382.022,0,#3,4550.562,0,#1,4719.101,0,#3,4887.641,0,#0,5056.18,0,#3,5224.719,0,
1|0|0|0|100|4|#5,5393.258,0,#6,5561.798,0,#4,5730.337,0,#4,5898.876,0,#6,6067.416,0,#7,6235.955,0,#5,6404.494,0,#7,6573.034,0,
1|0|0|0|100|4|#4,6741.573,0,#7,6910.112,0,#6,7078.652,0,#7,7247.191,0,#5,7415.73,0,#7,7584.27,0,#4,7752.809,0,#7,7921.348,0,
1|0|0|0|100|4|#5,8089.888,0,#6,8258.427,0,#4,8426.966,0,#4,8595.506,0,#6,8764.045,0,#7,8932.584,0,#5,9101.124,0,#7,9269.663,0,
1|0|0|0|100|4|#4,9438.202,0,#7,9606.741,0,#6,9775.281,0,#7,9943.82,0,#5,10112.36,0,#7,10280.9,0,#4,10449.44,0,#7,10617.98,0,
0|0|0|0|100|4|#0,11123.6,0,#1,11292.13,0,#3,11460.67,252.809,#1,11797.75,0,
0|0|0|0|100|4|#0,12134.83,0,#0,12471.91,0,#0,12808.99,0,#0,12977.53,0,#2,13146.07,0,#3,13230.34,0,#2,13314.61,0,
0|0|0|0|100|4|#1,13483.15,0,#3,13651.69,0,#2,13820.22,0,#1,13988.76,0,#3,14157.3,0,#2,14325.84,0,#1,14494.38,0,#3,14578.65,0,#2,14662.92,0,
1|0|0|0|100|4|#5,14831.46,252.809,#0,14831.46,0,#3,15000,0,#6,15168.54,252.809,#2,15168.54,0,#3,15337.08,0,#7,15505.62,252.809,#1,15505.62,0,#3,15674.16,0,#4,15842.7,252.809,#0,15842.7,0,#3,16011.24,0,
1|0|0|0|100|4|#5,16179.78,252.809,#4,16516.85,0,#5,16685.39,0,#7,16853.93,252.809,#5,17191.01,0,
