Thorns|190|bf-pixel|gf-pixel|spirit|1.5|schoolEvil
0|0|0|0|100|4|#3,0,157.8947,#3,315.7895,0,#3,473.6842,0,#1,631.5789,157.8947,#0,947.3684,0,
0|0|0|0|100|4|#3,1263.158,0,#1,1578.947,0,#3,1736.842,0,#1,2052.632,0,#3,2210.526,0,
0|0|0|0|100|4|#3,2526.316,0,#3,2684.21,0,#3,2842.105,0,#3,3000,0,#1,3157.895,0,#1,3315.789,0,#0,3473.684,0,#0,3631.579,0,
0|0|0|0|100|4|#3,3789.474,0,#1,4105.263,0,#3,4263.158,0,#1,4578.947,0,#3,4736.842,0,
1|0|0|0|100|4|#7,5052.631,157.8947,#7,5368.421,0,#7,5526.315,0,#5,5684.21,157.8947,#4,6000,0,
1|0|0|0|100|4|#7,6315.789,0,#5,6631.579,0,#7,6789.473,0,#5,7105.263,0,#7,7263.158,0,
1|0|0|0|100|4|#7,7578.947,0,#7,7736.842,0,#7,7894.736,0,#7,8052.631,0,#5,8210.526,0,#5,8368.421,0,#4,8526.315,0,#4,8684.21,0,
1|0|0|0|100|4|#7,8842.104,0,#5,9157.895,0,#7,9315.789,0,#5,9631.578,0,#7,9789.474,0,
0|0|0|0|100|4|#2,10105.26,157.8947,#1,10421.05,78.94736,#2,10736.84,0,#3,10894.74,0,#1,11052.63,78.94736,
0|0|0|0|100|4|#2,11368.42,157.8947,#1,11684.21,0,#2,11842.1,157.8947,#1,12157.89,0,#2,12315.79,157.8947,
0|0|0|0|100|4|#2,12631.58,157.8947,#1,12947.37,78.94736,#2,13263.16,0,#3,13421.05,0,#1,13578.95,78.94736,
0|0|0|0|100|4|#2,13894.74,157.8947,#1,14210.53,0,#2,14368.42,157.8947,#1,14684.21,0,#0,14842.1,157.8947,
1|0|0|0|100|4|#6,15157.89,157.8947,#5,15473.68,78.94736,#6,15789.47,0,#7,15947.37,0,#5,16105.26,78.94736,
1|0|0|0|100|4|#6,16421.05,157.8947,#5,16736.84,0,#6,16894.74,157.8947,#5,17210.53,0,#6,17368.42,157.8947,
1|0|0|0|100|4|#6,17684.21,157.8947,#5,18000,78.94736,#6,18315.79,0,#7,18473.68,0,#5,18631.58,78.94736,
1|0|0|0|100|4|#6,18947.37,157.8947,#5,19263.16,0,#6,19421.05,157.8947,#5,19736.84,0,#4,19894.74,157.8947,
0|0|0|0|100|4|#1,20210.53,0,#0,20368.42,0,#3,20526.31,0,#1,20684.21,0,#0,20842.1,0,#3,21000,0,#1,21157.89,0,#0,21315.79,0,
0|0|0|0|100|4|#2,21473.68,0,#1,21631.58,0,#0,21789.47,0,#2,21947.37,0,#1,22105.26,0,#0,22263.16,0,#3,22421.05,0,#1,22578.95,0,
0|0|0|0|100|4|#1,22736.84,0,#0,22894.74,0,#3,23052.63,0,#1,23210.53,0,#0,23368.42,0,#3,23526.31,0,#1,23684.21,0,#0,23842.1,0,
0|0|0|0|100|4|#2,24000,0,#1,24157.89,0,#0,24315.79,0,#2,24473.68,0,#1,24631.58,0,#7,24789.47,0,#0,24789.47,0,#6,24947.37,0,#3,24947.37,0,#4,25105.26,0,#1,25105.26,0,
1|0|0|0|100|4|#5,25263.16,0,#4,25421.05,0,#7,25578.95,0,#5,25736.84,0,#4,25894.74,0,#7,26052.63,0,#5,26210.53,0,#4,26368.42,0,
