Tutorial|100|bf||gf|1|stage
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#0,9600,0,#3,10800,0,
0|0|0|0|100|4|#0,12000,0,#3,13200,0,
1|0|0|0|100|4|#4,14400,0,#7,15600,0,
1|0|0|0|100|4|#4,16800,0,#7,18000,0,
0|0|0|0|100|4|#2,19200,0,#1,20400,0,
0|0|0|0|100|4|#2,21600,0,#1,22800,0,
1|0|0|0|100|4|#6,24000,0,#5,25200,0,
1|0|0|0|100|4|#6,26400,0,#5,27600,0,
0|0|0|0|100|4|#0,28800,0,#2,30000,0,
0|0|0|0|100|4|#1,31200,0,#3,32400,0,
1|0|0|0|100|4|#4,33600,0,#6,34800,0,
1|0|0|0|100|4|#5,36000,0,#7,37200,0,
0|0|0|0|100|4|#1,38400,0,#1,39000,0,#2,39600,0,
0|0|0|0|100|4|#1,40800,0,#1,41400,0,#3,42000,0,
1|0|0|0|100|4|#5,43200,0,#5,43800,0,#6,44400,0,
1|0|0|0|100|4|#5,45600,0,#5,46200,0,#7,46800,0,
0|0|0|0|100|4|#1,48000,0,#2,48300,0,#3,48600,0,#2,48900,0,#3,49800,0,
1|0|0|0|100|4|#5,50400,0,#6,50700,0,#7,51000,0,#6,51300,0,#7,52200,0,
1|0|0|0|100|4|#7,52800,0,#5,53400,0,#4,54000,0,#5,54600,0,
1|0|0|0|100|4|#6,55200,0,#7,55800,0,#4,56400,0,#6,57000,0,
1|0|0|0|100|4|#5,57600,750,
1|0|0|0|100|4|
1|0|0|0|100|4|#4,62400,0,#5,62550,0,#6,62700,0,#7,62850,0,#6,63000,0,#5,63150,0,#4,63300,0,#5,63450,0,#6,63600,0,#7,63750,0,#6,63900,0,#7,64050,0,#6,64200,0,#7,64350,0,#4,64650,0,#5,64500,0,
1|0|0|0|100|4|
