winter-horrorland|159|bf-christmas|gf|monster|1.3|mallEvil
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#0,9433.962,283.0189,#2,9811.32,283.0189,#3,10188.68,283.0189,
0|0|0|0|100|4|#0,10566.04,660.3774,#2,11320.75,566.0377,
0|0|0|0|100|4|#0,12452.83,283.0189,#2,12830.19,283.0189,#3,13207.55,283.0189,
0|0|0|0|100|4|#1,13584.91,0,#2,14150.94,0,#3,14339.62,283.0189,#2,14716.98,283.0189,
1|0|0|0|100|4|#1,15094.34,754.717,#4,15471.7,283.0189,#6,15849.06,283.0189,#7,16226.42,283.0189,
1|0|0|0|100|4|#4,16603.77,660.3774,#6,17358.49,660.3774,
1|0|0|0|100|4|#4,18490.57,283.0189,#6,18867.92,283.0189,#7,19245.28,283.0189,
1|0|0|0|100|4|#5,19622.64,0,#6,20188.68,0,#7,20377.36,283.0189,#6,20754.72,283.0189,
0|0|0|0|100|4|#1,21132.08,283.0189,#5,21132.08,754.717,#3,21509.43,283.0189,#2,21886.79,283.0189,#3,22264.15,283.0189,
0|0|0|0|100|4|#1,22641.51,471.6981,#0,23207.55,0,#2,23301.89,0,#0,23396.23,0,#3,23584.91,0,#0,23773.58,0,#1,23962.26,0,
0|0|0|0|100|4|#3,24150.94,283.0189,#2,24528.3,0,#0,24716.98,0,#2,24905.66,0,#0,25094.34,0,#2,25283.02,0,#0,25471.7,0,
0|0|0|0|100|4|#1,25660.38,471.6981,#2,26226.42,0,#3,26415.09,0,#2,26603.77,0,#0,26792.45,0,
1|0|0|0|100|4|#5,27169.81,283.0189,#7,27547.17,283.0189,#6,27924.53,283.0189,#7,28301.89,283.0189,
1|0|0|0|100|4|#5,28679.25,471.6981,#4,29245.28,0,#6,29339.62,0,#4,29433.96,0,#7,29622.64,0,#4,29811.32,0,#5,30000,0,
1|0|0|0|100|4|#7,30188.68,283.0189,#6,30566.04,0,#4,30754.72,0,#6,30943.4,0,#4,31132.08,0,#6,31320.75,0,#4,31509.43,0,
1|0|0|0|100|4|#5,31698.11,471.6981,#6,32264.15,0,#7,32452.83,0,#6,32641.51,0,#4,32830.19,283.0189,
