Blammed|165|bf|gf|pico|2.3|pico
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#1,11818.18,0,#3,12000,0,#0,12181.82,0,#0,12363.64,0,#1,12545.45,0,#3,12727.27,181.8182,
0|0|0|0|100|4|#2,13090.91,0,#0,13272.73,0,#2,13454.54,0,#3,13636.36,0,#0,13727.27,0,#3,13818.18,0,#3,14000,0,#1,14181.82,0,
0|0|0|0|100|4|#1,14727.27,0,#3,14909.09,0,#0,15090.91,0,#0,15272.73,0,#1,15454.54,0,#3,15636.36,0,#2,15818.18,0,
0|0|0|0|100|4|#3,16000,0,#1,16181.82,90.90909,#3,16363.64,0,#2,16545.46,0,#1,16727.27,90.90909,#3,16909.09,0,#1,17090.91,181.8182,
1|0|0|0|100|4|#5,17636.36,0,#7,17818.18,0,#4,18000,0,#4,18181.82,0,#5,18363.64,0,#7,18545.46,181.8182,
1|0|0|0|100|4|#6,18909.09,0,#4,19090.91,0,#6,19272.73,0,#7,19454.54,0,#4,19545.46,0,#7,19636.36,0,#7,19818.18,0,#5,20000,0,
1|0|0|0|100|4|#5,20545.46,0,#7,20727.27,0,#4,20909.09,0,#4,21090.91,0,#5,21272.73,0,#7,21454.54,0,#6,21636.36,0,
1|0|0|0|100|4|#7,21818.18,0,#5,22000,90.90909,#7,22181.82,0,#6,22363.64,0,#5,22545.46,90.90909,#7,22727.27,0,#5,22909.09,181.8182,
0|0|0|0|100|4|#2,23454.54,0,#3,23636.36,0,#3,23818.18,0,#2,24000,0,#0,24181.82,0,#3,24363.64,0,#1,24545.46,0,
0|0|0|0|100|4|#3,24727.27,0,#1,24909.09,0,#0,25090.91,0,#1,25272.73,0,#2,25454.54,0,#3,25636.36,0,#0,25818.18,0,#1,26000,0,
0|0|0|0|100|4|#2,26363.64,0,#3,26545.46,0,#3,26727.27,0,#1,26909.09,0,#0,27090.91,0,#3,27272.73,0,#2,27454.54,0,
0|0|0|0|100|4|#3,27636.36,0,#0,27818.18,0,#1,28000,0,#1,28181.82,0,#3,28363.64,0,#2,28545.46,0,#0,28727.27,0,#1,28909.09,0,
