Bopeebo|100|bf|gf|dad|1.3|stage
0|0|0|0|100|4|#2,0,0,#3,600,600,#3,1200,600,
1|0|0|0|100|4|#6,2400,0,#7,3000,600,#7,3600,600,
0|0|0|0|100|4|#1,4800,300,#0,5400,300,#3,6000,600,
1|0|0|0|100|4|#5,7200,300,#4,7800,300,#7,8400,600,
0|0|0|0|100|4|#1,9600,300,#3,10200,0,#0,10500,0,#1,10800,600,
1|0|0|0|100|4|#5,12000,300,#7,12600,0,#4,12900,0,#5,13200,600,
0|0|0|0|100|4|#3,14400,0,#1,14700,0,#0,15300,0,#2,15600,600,
1|0|0|0|100|4|#7,16800,0,#5,17100,0,#4,17700,0,#6,18000,600,
0|0|0|0|100|4|#0,19200,0,#3,19500,0,#1,19800,900,
1|0|0|0|100|4|#4,21600,0,#7,21900,0,#5,22200,900,
0|0|0|0|100|4|#1,24000,0,#3,24300,0,#0,24600,900,
1|0|0|0|100|4|#5,26400,0,#7,26700,0,#4,27000,900,
0|0|0|0|100|4|#2,28800,0,#3,29100,0,#0,29400,1200,
1|0|0|0|100|4|#6,31200,0,#7,31500,0,#4,31800,1200,#2,33300,0,
0|0|0|0|100|4|#0,33600,0,#3,33900,0,#2,34500,0,#0,34575,0,#1,34800,600,#6,35700,0,
1|0|0|0|100|4|#4,36000,0,#7,36300,0,#6,36900,0,#4,36975,0,#5,37200,600,
0|0|0|0|100|4|#2,38400,450,#3,39000,300,#0,39600,600,
1|0|0|0|100|4|#6,40800,450,#7,41400,300,#4,42000,600,
0|0|0|0|100|4|#1,43200,0,#2,43800,0,#1,44400,0,#1,44550,0,#1,44700,0,#2,45000,0,
1|0|0|0|100|4|#5,45600,0,#6,46200,0,#5,46800,0,#5,46950,0,#5,47100,0,#6,47400,0,
0|0|0|0|100|4|#2,48000,450,#3,48600,300,#0,49200,450,
1|0|0|0|100|4|#6,50400,450,#7,51000,300,#4,51600,450,
0|0|0|0|100|4|#3,52800,1800,
1|0|0|0|100|4|#7,55200,1800,
0|0|0|0|100|4|#2,57600,0,#3,57900,0,#0,58200,1200,
1|0|0|0|100|4|#6,60000,0,#7,60300,0,#4,60600,1200,#2,62100,0,
0|0|0|0|100|4|#0,62400,0,#3,62700,0,#2,63300,0,#0,63375,0,#1,63600,600,#6,64500,0,
1|0|0|0|100|4|#4,64800,0,#7,65100,0,#6,65700,0,#4,65775,0,#5,66000,600,
0|0|0|0|100|4|#2,67200,0,#3,67500,0,#0,67800,0,#2,68100,0,#1,68400,600,
1|0|0|0|100|4|#6,69600,0,#7,69900,0,#4,70200,0,#6,70500,0,#5,70800,600,#2,71700,0,
0|0|0|0|100|4|#0,72000,0,#3,72300,0,#2,72900,0,#0,72975,0,#1,73200,600,#6,74100,0,
1|0|0|0|100|4|#4,74400,0,#7,74700,0,#6,75300,0,#4,75375,0,#5,75600,600,
0|0|0|0|100|4|
0|0|0|0|100|4|
