fresh|120|bf|gf|dad|1.8|stage
0|0|0|0|100|4|#1,0,0,#1,250,0,#3,500,0,#3,875,0,#1,1125,0,#0,1250,0,#3,1500,0,#2,1500,0,#1,1750,0,#0,1875,125,
1|0|0|0|100|4|#5,2000,0,#5,2250,0,#7,2500,0,#7,2875,0,#5,3125,0,#4,3250,0,#6,3500,0,#7,3500,0,#5,3750,0,#4,3875,125,
0|0|0|0|100|4|#1,4000,0,#1,4250,0,#3,4500,0,#3,4875,0,#1,5125,0,#0,5250,0,#3,5500,0,#2,5500,0,#3,5750,125,
1|0|0|0|100|4|#5,6000,0,#5,6250,0,#7,6500,0,#7,6875,0,#5,7125,0,#4,7250,0,#7,7500,0,#6,7500,0,#7,7750,125,
0|0|0|0|100|4|#0,8250,0,#1,8500,0,#2,9000,0,
1|0|0|0|100|4|#4,10250,0,#5,10500,0,#6,11000,0,
0|0|0|0|100|4|#0,12250,0,#2,12500,0,#3,12750,0,#0,13000,0,
1|0|0|0|100|4|#4,14250,0,#6,14500,0,#7,14750,0,#4,15000,0,
0|0|0|0|100|4|#0,16250,0,#1,16500,0,#3,16750,0,#0,17000,0,#2,17500,0,
1|0|0|0|100|4|#4,18250,0,#5,18500,0,#7,18750,0,#4,19000,0,#6,19500,0,
0|0|0|0|100|4|#3,20000,0,#1,20250,0,#2,20750,0,#3,21000,0,#1,21250,0,#0,21750,0,
1|0|0|0|100|4|#7,22000,0,#5,22250,0,#6,22750,0,#7,23000,0,#5,23250,0,#4,23750,0,
0|0|0|0|100|4|#3,24000,0,#0,24500,0,#1,25000,0,#1,25250,0,#0,25500,0,
0|0|0|0|100|4|#1,26000,0,#2,26250,0,#3,26500,0,#0,26750,0,#2,27000,0,#3,27250,0,#1,27500,0,
1|0|0|0|100|4|#7,28000,0,#4,28500,0,#5,29000,0,#5,29250,0,#4,29500,0,
1|0|0|0|100|4|#5,30000,0,#6,30250,0,#7,30500,0,#4,30750,0,#6,31000,0,#7,31250,0,#5,31500,0,
0|0|0|0|100|4|#0,32500,0,#3,32750,0,#1,33000,0,#3,33250,0,#1,33500,0,#2,33750,0,
0|0|0|0|100|4|#0,34250,0,#3,34500,0,#0,34750,0,#2,35000,375,#1,35500,375,
1|0|0|0|100|4|#4,36500,0,#7,36750,0,#5,37000,0,#7,37250,0,#5,37500,0,#6,37750,0,
1|0|0|0|100|4|#4,38250,0,#7,38500,0,#4,38750,0,#6,39000,375,#5,39500,375,
0|0|0|0|100|4|#0,40250,0,#1,40500,0,#2,41000,0,#2,41500,0,#2,41750,0,
1|0|0|0|100|4|#4,42250,0,#5,42500,0,#6,43000,0,#6,43500,0,#6,43750,0,
0|0|0|0|100|4|#0,44250,0,#2,44500,0,#3,44750,0,#0,45000,0,#0,45750,0,
1|0|0|0|100|4|#4,46250,0,#6,46500,0,#7,46750,0,#4,47000,0,#4,47750,0,
0|0|0|0|100|4|#0,48250,0,#1,48500,0,#3,48750,0,#0,49000,0,#2,49750,0,
1|0|0|0|100|4|#4,50250,0,#5,50500,0,#7,50750,0,#4,51000,0,#6,51750,0,
0|0|0|0|100|4|#3,52000,0,#1,52250,0,#1,52500,0,#2,52750,0,#3,53000,0,#1,53250,0,#0,53750,0,
1|0|0|0|100|4|#7,54000,0,#5,54250,0,#5,54500,0,#6,54750,0,#7,55000,0,#5,55250,0,#4,55750,0,
0|0|0|0|100|4|#3,56000,0,#0,56500,0,#1,57000,0,#1,57250,0,#0,57500,0,
0|0|0|0|100|4|#1,58000,0,#2,58250,0,#3,58500,0,#0,58750,0,#2,59000,0,#3,59250,0,#1,59500,0,
1|0|0|0|100|4|#7,60000,0,#4,60500,0,#5,61000,0,#5,61250,0,#4,61500,0,
1|0|0|0|100|4|#5,62000,0,#6,62250,0,#7,62500,0,#4,62750,0,#6,63000,0,#7,63250,0,#5,63500,0,
0|0|0|0|100|4|#0,64500,0,#3,64750,0,#1,65000,0,#3,65250,0,#1,65500,0,#2,65750,0,
0|0|0|0|100|4|#0,66250,0,#3,66500,0,#0,66750,0,#2,67000,375,#1,67500,375,
1|0|0|0|100|4|#4,68500,0,#7,68750,0,#5,69000,0,#7,69250,0,#5,69500,0,#6,69750,0,
1|0|0|0|100|4|#4,70250,0,#7,70500,0,#4,70750,0,#6,71000,375,#5,71500,375,
1|0|0|0|100|4|#5,72000,0,#1,72000,0,#5,72250,0,#1,72250,0,#7,72500,0,#3,72500,0,#7,72875,0,#3,72875,0,#5,73125,0,#1,73125,0,#4,73250,0,#0,73250,0,#7,73500,0,#6,73500,0,#3,73500,0,#2,73500,0,#5,73750,0,#1,73750,0,#4,73875,125,#0,73875,125,
1|0|0|0|100|4|#5,74000,0,#5,74250,0,#7,74500,0,#7,74875,0,#5,75125,0,#4,75250,0,#7,75500,0,#6,75500,0,#5,75750,0,#4,75875,125,
1|0|0|0|100|4|#5,76000,0,#1,76000,0,#5,76250,0,#1,76250,0,#7,76500,0,#3,76500,0,#7,76875,0,#3,76875,0,#5,77125,0,#1,77125,0,#4,77250,0,#0,77250,0,#7,77500,0,#6,77500,0,#3,77500,0,#2,77500,0,
1|0|0|0|100|4|#5,78000,0,#5,78250,0,#7,78500,0,#7,78875,0,#5,79125,0,#4,79250,0,#7,79500,0,#6,79500,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
