Milf|180|bf-car|gf-car|mom|2.6|limo
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#1,2666.667,0,#1,3000,0,#1,3333.333,0,#0,3416.667,0,#3,3500,0,#2,3583.333,166.6667,#1,3833.333,0,
0|0|0|0|100|4|#1,4166.667,0,#1,4500,0,#3,4666.667,0,#1,4833.333,0,#0,5000,0,#1,5166.667,0,
0|0|0|0|100|4|#1,5333.333,0,#1,5666.667,0,#1,6000,0,#0,6083.333,0,#3,6166.667,0,#2,6250,166.6667,#1,6500,0,
0|0|0|0|100|4|#1,6833.333,0,#1,7166.667,0,#3,7333.333,0,#1,7500,0,#2,7666.667,0,#3,7750,0,#0,7833.333,0,
1|0|0|0|100|4|#5,8000,0,#5,8333.334,0,#5,8666.667,0,#4,8750,0,#7,8833.334,0,#6,8916.667,166.6667,#5,9166.667,0,
1|0|0|0|100|4|#5,9500,0,#5,9833.334,0,#7,10000,0,#5,10166.67,0,#4,10333.33,0,#5,10500,0,
1|0|0|0|100|4|#5,10666.67,0,#5,11000,0,#5,11333.33,0,#4,11416.67,0,#7,11500,0,#6,11583.33,166.6667,#5,11833.33,0,
1|0|0|0|100|4|#5,12166.67,0,#5,12500,0,#7,12666.67,0,#5,12833.33,0,#6,13000,0,#7,13083.33,0,#4,13166.67,0,
0|0|0|0|100|4|#2,13333.33,666.6667,#1,14333.33,0,#1,14500,0,#3,14583.33,416.6667,
0|0|0|0|100|4|#3,15166.67,0,#2,15250,166.6667,#0,15500,0,#1,15833.33,250,
0|0|0|0|100|4|#0,16166.67,0,#3,16250,0,#1,16333.33,250,#2,16666.67,250,#0,17000,0,
0|0|0|0|100|4|#3,17333.33,0,#3,17500,0,#2,17583.33,0,#0,17666.67,0,#1,17833.33,0,#3,18000,0,#2,18166.67,0,#0,18333.33,0,#1,18500,0,
1|0|0|0|100|4|#6,18666.67,666.6667,#5,19666.67,0,#5,19833.33,0,#7,19916.67,416.6667,
1|0|0|0|100|4|#7,20500,0,#6,20583.33,166.6667,#4,20833.33,0,#5,21166.67,250,
1|0|0|0|100|4|#4,21500,0,#7,21583.33,0,#5,21666.67,250,#6,22000,250,#4,22333.33,0,
1|0|0|0|100|4|#7,22666.67,0,#7,22833.33,0,#6,22916.67,0,#4,23000,0,#5,23166.67,0,#7,23333.33,0,#6,23500,0,#4,23666.67,0,#5,23833.33,0,
