monster|95|bf|gf|monster|1.6|spooky
1|0|0|0|100|4|
0|0|0|0|100|4|#2,2526.316,789.4736,#3,3473.684,157.8947,#2,3789.474,789.4736,#3,4736.842,157.8947,
0|0|0|0|100|4|#1,5052.631,1105.263,
1|0|0|0|100|4|#0,7578.947,1105.263,#6,7578.947,789.4736,#7,8526.315,157.8947,#2,8842.104,1105.263,#6,8842.104,789.4736,#7,9789.474,157.8947,
1|0|0|0|100|4|#1,10105.26,1105.263,#5,10105.26,1105.263,
0|0|0|0|100|4|#2,13263.16,0,#1,13578.95,0,#3,13894.74,315.7895,#1,14526.32,157.8947,#0,14842.1,0,#2,15000,0,
0|0|0|0|100|4|#3,15157.89,0,#0,15473.68,0,#3,15789.47,0,#1,16105.26,0,#2,16421.05,473.6842,#0,17052.63,473.6842,
1|0|0|0|100|4|#6,18315.79,0,#5,18631.58,0,#7,18947.37,315.7895,#5,19578.95,157.8947,#4,19894.74,0,#6,20052.63,0,
1|0|0|0|100|4|#7,20210.53,0,#4,20526.31,0,#7,20842.1,0,#5,21157.89,0,#6,21473.68,473.6842,#4,22105.26,473.6842,
0|0|0|0|100|4|#3,23368.42,0,#2,23684.21,0,#0,24000,473.6842,#2,24631.58,157.8947,#1,24947.37,0,
0|0|0|0|100|4|#0,25263.16,473.6842,#2,25894.74,473.6842,#3,26526.31,1105.263,
1|0|0|0|100|4|#7,28421.05,0,#6,28736.84,0,#4,29052.63,473.6842,#6,29684.21,157.8947,#5,30000,0,
1|0|0|0|100|4|#4,30315.79,473.6842,#6,30947.37,473.6842,#7,31578.95,1105.263,
0|0|0|0|100|4|#2,32842.11,631.5789,#2,33789.47,0,#0,33789.47,0,#2,34105.26,157.8947,#1,34421.05,157.8947,#2,34736.84,157.8947,#0,35052.63,0,#3,35052.63,0,
0|0|0|1|127|4|#3,35368.42,0,#0,35368.42,0,#0,35683.38,118.1102,#2,35998.34,0,#3,36313.3,590.5512,
1|0|0|1|95|4|#6,37258.18,631.5789,#4,38205.55,0,#6,38205.55,0,#6,38521.34,157.8947,#5,38837.13,157.8947,#6,39152.92,157.8947,#7,39468.71,0,#4,39468.71,0,
1|0|0|1|127|4|#7,39784.5,0,#4,39784.5,0,#4,40099.46,118.1102,#6,40414.42,0,#7,40729.38,590.5512,
1|0|0|1|100|4|
0|0|0|1|105|4|#3,44359.98,0,#0,44502.84,0,#1,44502.84,0,#1,44931.41,0,#3,45217.12,0,#2,45217.12,0,#3,45502.84,0,#0,45788.55,0,#2,46074.27,0,#3,46074.27,0,
0|0|0|0|100|4|#0,46359.98,428.5714,#1,46931.41,857.1429,
1|0|0|0|100|4|#7,48931.41,0,#4,49074.27,0,#5,49074.27,0,#5,49502.84,0,#7,49788.55,0,#6,49788.55,0,#7,50074.27,0,#4,50359.98,0,#6,50645.7,0,#7,50645.7,0,
1|0|0|0|100|4|#4,50931.41,428.5714,#5,51502.84,857.1429,
0|0|0|0|100|4|#2,53502.84,148.8095,#3,53788.55,148.8095,#0,54074.27,148.8095,#3,54359.98,148.8095,#1,54645.7,0,#3,54645.7,0,#1,54931.41,0,#0,55217.13,148.8095,
0|0|0|0|100|4|#2,55502.84,857.1429,#0,55502.84,857.1429,#3,56645.7,0,#2,56788.55,0,#3,56931.41,0,#1,57359.98,0,#3,57502.84,0,#0,57502.84,0,
1|0|0|0|100|4|#6,58074.27,148.8095,#7,58359.98,148.8095,#4,58645.7,148.8095,#7,58931.41,148.8095,#5,59217.13,0,#7,59217.13,0,#5,59502.84,0,#4,59788.55,148.8095,
1|0|0|0|100|4|#6,60074.27,857.1429,#4,60074.27,857.1429,#7,61217.13,0,#6,61359.98,0,#7,61502.84,0,#5,61931.41,0,#7,62074.27,0,#4,62074.27,0,
0|0|0|0|100|4|#3,62359.98,0,#2,62502.84,0,#3,62645.7,0,#1,62931.41,0,#2,63074.27,0,#1,63217.13,0,#2,63502.84,0,#1,63645.7,0,#0,63788.55,0,#1,63931.41,0,#3,64074.27,0,#1,64217.13,0,#0,64359.98,285.7143,
0|0|0|0|100|4|#0,64931.41,285.7143,#3,64931.41,285.7143,#2,65502.84,285.7143,#0,66074.27,0,#3,66074.27,0,#2,66359.98,285.7143,
1|0|0|0|100|4|#7,66931.41,0,#6,67074.27,0,#7,67217.13,0,#5,67502.84,0,#6,67645.7,0,#5,67788.55,0,#6,68074.27,0,#5,68217.13,0,#4,68359.98,0,#5,68502.84,0,#7,68645.7,0,#5,68788.55,0,#4,68931.41,285.7143,
1|0|0|0|100|4|#4,69502.84,285.7143,#7,69502.84,285.7143,#6,70074.27,285.7143,#4,70645.7,0,#7,70645.7,0,#6,70931.41,285.7143,
0|0|0|0|100|4|#2,71502.84,1000,#1,72645.7,1000,
0|0|0|0|100|4|#3,73788.55,0,#1,73931.41,0,#0,74074.27,0,#1,74217.13,0,#3,74359.98,0,#1,74502.84,0,#0,74645.7,0,#1,74788.55,0,#2,74931.41,0,#2,75217.13,0,#2,75502.84,0,#2,75788.55,0,
1|0|0|0|100|4|#6,76074.27,1000,#5,77217.13,1000,
1|0|0|0|100|4|#7,78359.98,0,#5,78502.84,0,#4,78645.7,0,#5,78788.55,0,#7,78931.41,0,#5,79074.27,0,#4,79217.13,0,#5,79359.98,0,#6,79502.84,0,#6,79788.55,0,#6,80074.27,0,#6,80359.98,0,
1|0|0|1|216|4|
0|0|0|1|95|4|#3,82072.59,473.6842,#0,82704.17,473.6842,#1,83335.75,0,#2,83651.54,473.6842,
1|0|0|0|100|4|#7,84283.12,473.6842,#4,84914.7,473.6842,#5,85546.28,0,#6,85862.07,473.6842,#3,86493.65,157.8947,
0|0|0|0|100|4|#1,86809.44,157.8947,#2,87125.23,157.8947,#0,87441.02,157.8947,#3,87756.8,157.8947,#1,88072.59,473.6842,#7,88704.17,157.8947,#5,89019.96,157.8947,
0|0|0|0|100|4|#6,89335.75,157.8947,#4,89651.54,157.8947,#7,89967.33,157.8947,#5,90283.12,473.6842,#2,90598.91,157.8947,#0,90914.7,0,#1,91072.59,0,#3,91230.49,157.8947,#2,91546.28,315.7895,
1|0|0|0|100|4|#6,92177.86,157.8947,#4,92493.65,0,#5,92651.54,0,#7,92809.44,157.8947,#6,93125.23,315.7895,#2,94072.59,157.8947,
1|0|0|0|100|4|#3,94546.28,0,#1,94704.17,157.8947,#1,95019.96,0,#6,95651.54,157.8947,#7,96125.23,0,#5,96283.12,157.8947,#5,96598.91,0,
0|0|0|0|100|4|#2,97230.48,0,#0,97388.38,0,#2,97546.28,157.8947,#3,97862.07,473.6842,#1,98493.65,157.8947,#3,98809.44,315.7895,
1|0|0|0|100|4|#6,99441.02,0,#4,99598.91,0,#6,99756.8,157.8947,#7,100072.6,473.6842,#5,100704.2,157.8947,#7,101020,315.7895,#0,101335.8,473.6842,
0|0|0|0|100|4|#1,101967.3,0,#3,102125.2,0,#0,102283.1,0,#2,102598.9,0,#0,102914.7,0,#0,103230.5,0,#4,103546.3,473.6842,#5,104177.9,0,#7,104335.8,0,
0|0|0|0|100|4|#4,104493.6,0,#6,104809.4,0,#4,105125.2,0,#4,105441,0,#3,105756.8,473.6842,#1,106388.4,473.6842,
0|0|0|0|100|4|#0,107020,0,#3,107335.8,157.8947,#0,107651.5,157.8947,#3,107967.3,0,#1,108283.1,473.6842,#7,108914.7,473.6842,
1|0|0|0|100|4|#5,109546.3,473.6842,#4,110177.9,0,#7,110493.6,157.8947,#4,110809.4,157.8947,#7,111125.2,0,#5,111441,473.6842,
