Pico|150|bf|gf|pico|1.6|pico
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|0|100|4|#2,3799,0,#3,3999,0,#2,4200,0,#0,4600,0,
0|0|0|0|100|4|#0,5000,0,#2,5400,0,#3,5600,0,#2,5800,0,#0,6200,0,
0|0|0|0|100|4|#2,6999,0,#3,7199,0,#2,7399,0,#0,7799,0,
0|0|0|0|100|4|#0,8200,0,#2,8600,0,#3,8800,0,#2,9000,0,#0,9400,0,
1|0|0|0|100|4|#6,10200,0,#7,10400,0,#6,10600,0,#4,11000,0,
1|0|0|0|100|4|#4,11400,0,#6,11800,0,#7,12000,0,#6,12200,0,#4,12600,0,
1|0|0|0|100|4|#6,13399,0,#7,13599,0,#6,13799,0,#4,14199,0,
1|0|0|0|100|4|#4,14599,0,#6,14999,0,#7,15199,0,#6,15399,0,#4,15799,0,
0|0|0|0|100|4|#2,16199,0,#3,16400,0,#0,16600,0,#3,16800,0,#0,17000,0,#1,17200,0,
0|0|0|0|100|4|#3,17800,0,#0,18000,0,#2,18200,0,#3,18400,0,#0,18600,0,#1,18800,0,
0|0|0|0|100|4|#3,19400,0,#0,19600,0,#3,19800,0,#2,20000,0,#0,20200,0,#1,20400,0,
0|0|0|0|100|4|#2,21000,0,#3,21200,0,#0,21400,0,#3,21600,0,#0,21800,0,#1,22000,0,
1|0|0|0|100|4|#6,22600,0,#7,22800,0,#4,23000,0,#7,23200,0,#4,23400,0,#5,23600,0,
1|0|0|0|100|4|#7,24200,0,#4,24400,0,#6,24600,0,#7,24800,0,#4,25000,0,#5,25200,0,
1|0|0|0|100|4|#7,25799,0,#4,25999,0,#7,26199,0,#6,26399,0,#4,26599,0,#5,26799,0,
1|0|0|0|100|4|#6,27399,0,#7,27599,0,#4,27799,0,#7,27999,0,#4,28199,0,#5,28399,0,
0|0|0|0|100|4|#0,28999,0,#3,29199,0,#2,29399,0,#2,29599,0,#3,29799,0,#1,29999,0,#3,30199,0,
0|0|0|0|100|4|#2,30399,0,#3,30599,0,#0,30699,0,#3,30799,0,#2,30999,0,#0,31199,300,#1,31599,200,
0|0|0|0|100|4|#3,32199,0,#1,32399,0,#2,32599,0,#3,32800,0,#1,33000,0,#2,33200,0,#3,33400,0,
0|0|0|0|100|4|#0,33600,0,#0,33800,0,#3,34000,0,#3,34200,0,#2,34400,300,#1,34800,300,
