satin-panties|110|bf-car|gf-car|mom|1.8|limo
0|0|0|0|100|4|#0,0,0,#0,272.7273,0,#0,545.4545,0,#0,818.1818,0,#0,954.5454,0,#0,1227.273,0,#0,1363.636,0,#0,1636.364,0,#0,1909.091,0,#0,2045.454,0,
1|0|0|0|100|4|#7,2181.818,0,#7,2454.545,0,#7,2727.273,0,#7,3000,0,#7,3136.364,0,#7,3409.091,0,#7,3545.454,0,#7,3818.182,0,#7,4090.909,0,#7,4227.272,0,
0|0|0|0|100|4|#2,4636.363,0,#3,4909.091,0,#2,5181.818,0,#3,5318.182,0,#0,5590.909,0,#2,5863.636,0,#3,6000,0,#0,6272.727,0,#3,6409.091,0,
0|0|0|0|100|4|#2,6818.182,0,#3,7090.909,0,#2,7363.636,0,#3,7500,0,#0,7772.727,0,#2,8045.454,0,#3,8181.818,0,#0,8318.182,0,#1,8454.545,0,
1|0|0|0|100|4|#2,8727.272,545.4545,#6,9000,0,#7,9272.727,0,#6,9545.454,0,#7,9681.818,0,#4,9954.545,0,#6,10227.27,0,#7,10363.64,0,#4,10636.36,0,#7,10772.73,0,
1|0|0|0|100|4|#6,11181.82,0,#7,11454.54,0,#6,11727.27,0,#7,11863.64,0,#4,12136.36,0,#6,12409.09,0,#7,12545.45,0,#4,12681.82,0,#5,12818.18,0,
0|0|0|0|100|4|#6,13090.91,545.4545,#1,13363.64,0,#1,13500,0,#0,13636.36,0,#0,13909.09,0,#3,14045.45,0,#2,14181.82,272.7273,#3,14590.91,0,#0,14727.27,0,#1,15000,0,
0|0|0|0|100|4|#3,15272.73,272.7273,#0,15681.82,0,#0,15954.54,0,#0,16090.91,0,#0,16227.27,0,#2,16363.64,272.7273,#3,16772.73,0,#0,16909.09,0,#1,17045.45,0,#0,17181.82,0,
1|0|0|0|100|4|#2,17454.54,545.4545,#5,17727.27,0,#5,17863.64,0,#4,18000,0,#4,18272.73,0,#7,18409.09,0,#6,18545.45,272.7273,#7,18954.54,0,#4,19090.91,0,#5,19363.64,0,
1|0|0|0|100|4|#7,19636.36,272.7273,#4,20045.45,0,#4,20318.18,0,#4,20454.54,0,#4,20590.91,0,#6,20727.27,272.7273,#7,21136.36,0,#4,21272.73,0,#5,21409.09,0,#4,21545.45,0,
0|0|0|0|100|4|#6,21818.18,409.0909,#2,21818.18,409.0909,#7,22363.63,0,#3,22363.63,0,#6,22500,0,#2,22500,0,#7,22636.36,0,#3,22636.36,0,#6,22772.73,0,#2,22772.73,0,#4,22909.09,0,#0,22909.09,0,#5,23045.45,0,#1,23045.45,0,#4,23181.82,0,#0,23181.82,0,#5,23318.18,0,#1,23318.18,0,#4,23454.54,0,#0,23454.54,0,#7,23590.91,0,#3,23590.91,0,#4,23727.27,0,#0,23727.27,0,#7,23863.63,0,#3,23863.63,0,
0|0|0|0|100|4|#1,24000,409.0909,#5,24000,409.0909,#4,24545.45,0,#0,24545.45,0,#7,24681.82,0,#3,24681.82,0,#4,24818.18,0,#0,24818.18,0,#7,24954.54,0,#3,24954.54,0,#6,25090.91,136.3636,#2,25090.91,136.3636,#7,25363.63,0,#3,25363.63,0,#7,25636.36,0,#3,25636.36,0,#5,25909.09,0,#1,25909.09,0,
1|0|0|0|100|4|#0,26181.82,409.0909,#7,26181.82,409.0909,#4,26727.27,409.0909,#3,26727.27,409.0909,#2,27272.73,0,#6,27272.73,0,#2,27545.45,0,#6,27545.45,0,#2,27681.82,0,#6,27681.82,0,#3,27818.18,409.0909,#4,27818.18,409.0909,
1|0|0|0|100|4|#1,28363.63,409.0909,#5,28363.63,409.0909,#3,28909.09,409.0909,#7,28909.09,409.0909,#2,29454.54,409.0909,#6,29454.54,409.0909,#0,30000,0,#4,30000,0,#3,30272.73,409.0909,#7,30272.73,0,
0|0|0|0|100|4|#5,30545.45,545.4545,#2,30818.18,0,#3,30954.54,0,#0,31090.91,0,#1,31363.63,0,#3,31636.36,0,#0,31772.73,0,#3,31909.09,0,#3,32181.82,0,#0,32318.18,0,#1,32454.54,0,
0|0|0|0|100|4|#1,33000,0,#3,33136.36,0,#0,33272.73,136.3636,#1,33545.45,0,#2,33818.18,0,#3,33954.54,0,#0,34090.91,0,#0,34227.27,0,#3,34363.64,0,#0,34500,0,#0,34636.36,0,#1,34772.73,0,
1|0|0|0|100|4|#3,34909.09,0,#2,35045.45,0,#6,35181.82,0,#3,35181.82,0,#7,35318.18,0,#4,35454.54,0,#5,35727.27,0,#7,36000,0,#4,36136.36,0,#7,36272.73,0,#7,36545.45,0,#4,36681.82,0,#5,36818.18,0,
1|0|0|0|100|4|#5,37363.64,0,#7,37500,0,#4,37636.36,136.3636,#5,37909.09,0,#6,38181.82,0,#7,38318.18,0,#4,38454.54,0,#4,38590.91,0,#3,38727.27,0,#7,38727.27,0,#0,38863.64,0,#4,38863.64,0,#1,39000,0,#4,39000,0,#3,39136.36,0,#5,39136.36,0,
0|0|0|0|100|4|#2,39272.73,136.3636,#7,39272.73,0,#6,39409.09,0,#7,39545.45,0,#2,39545.45,0,#3,39681.82,0,#0,39818.18,0,#1,39954.54,0,#3,40090.91,0,#1,40227.27,0,#3,40363.64,0,#0,40500,0,#3,40636.36,0,#1,40772.73,0,#3,40909.09,0,#0,41045.45,0,#1,41181.82,0,
0|0|0|0|100|4|#0,41454.54,0,#1,41727.27,0,#3,41863.64,0,#0,42000,136.3636,#1,42272.73,0,#2,42545.45,0,#3,42681.82,0,#0,42818.18,0,#0,42954.54,0,#7,43090.91,0,#3,43090.91,0,#4,43227.27,0,#0,43227.27,0,#5,43363.64,0,#0,43363.64,0,#7,43500,0,#1,43500,0,
