Ugh|160|bf|gf|tankman|2.3|tankstage
0|0|0|0|100|4|#3,0,0,#3,187.5,0,#0,375,93.75,#3,562.5,0,#2,750,93.75,#3,937.5,0,#0,1125,93.75,#2,1312.5,0,#2,1406.25,0,
0|0|0|0|100|4|#3,1500,0,#2,1593.75,0,#3,1687.5,0,#1,1781.25,0,#0,1875,0,#1,1968.75,0,#0,2062.5,93.75,#1,2250,281.25,#3,2625,281.25,
0|0|0|0|100|4|#3,3000,0,#3,3187.5,0,#0,3375,93.75,#3,3562.5,0,#2,3750,93.75,#3,3937.5,0,#1,4125,281.25,
0|0|0|0|100|4|#3,4500,0,#2,4687.5,0,#1,4875,0,#0,5062.5,0,#3,5250,281.25,#2,5625,0,true
1|0|0|0|100|4|#7,6000,0,#7,6187.5,0,#4,6375,93.75,#7,6562.5,0,#6,6750,93.75,#7,6937.5,0,#4,7125,93.75,#6,7312.5,0,#6,7406.25,0,
1|0|0|0|100|4|#7,7500,0,#6,7593.75,0,#7,7687.5,0,#5,7781.25,0,#4,7875,0,#5,7968.75,0,#4,8062.5,93.75,#5,8250,281.25,#7,8625,281.25,
1|0|0|0|100|4|#7,9000,0,#7,9187.5,0,#4,9375,93.75,#7,9562.5,0,#6,9750,93.75,#7,9937.5,0,#5,10125,281.25,
1|0|0|0|100|4|#7,10500,0,#6,10687.5,0,#5,10875,0,#4,11062.5,0,#7,11250,281.25,#5,11625,281.25,
0|0|0|0|100|4|#3,12000,0,#3,12093.75,0,#1,12187.5,0,#0,12375,0,#1,12562.5,0,#0,12750,0,#1,12843.75,0,#3,12937.5,0,#1,13031.25,0,#0,13125,93.75,#1,13312.5,0,
0|0|0|0|100|4|#3,13500,93.75,#1,13687.5,0,#3,13875,93.75,#0,14062.5,0,#2,14250,0,#3,14437.5,0,#0,14625,0,#3,14812.5,0,
0|0|0|0|100|4|#3,15000,0,#3,15187.5,0,#2,15281.25,0,#3,15375,0,#2,15562.5,0,#1,15656.25,0,#2,15750,0,#1,15937.5,0,#0,16031.25,0,#1,16125,0,#0,16312.5,0,
0|0|0|0|100|4|#1,16500,93.75,#2,16687.5,93.75,#3,16875,93.75,#0,17062.5,93.75,#1,17250,93.75,#0,17437.5,0,#1,17531.25,0,#3,17625,93.75,#0,17812.5,0,
1|0|0|0|100|4|#7,18000,0,#3,18000,281.25,#7,18093.75,0,#5,18187.5,0,#4,18375,0,#5,18562.5,0,#4,18750,0,#5,18843.75,0,#7,18937.5,0,#5,19031.25,0,#4,19125,93.75,#5,19312.5,0,
1|0|0|0|100|4|#7,19500,93.75,#5,19687.5,0,#7,19875,93.75,#4,20062.5,0,#6,20250,0,#7,20437.5,0,#4,20625,0,#7,20812.5,0,
1|0|0|0|100|4|#7,21000,0,#7,21187.5,0,#6,21281.25,0,#7,21375,0,#6,21562.5,0,#5,21656.25,0,#6,21750,0,#5,21937.5,0,#4,22031.25,0,#5,22125,0,#4,22312.5,0,
1|0|0|0|100|4|#5,22500,93.75,#6,22687.5,93.75,#7,22875,93.75,#4,23062.5,93.75,#5,23250,93.75,#4,23437.5,0,#5,23531.25,0,#7,23625,93.75,#4,23812.5,0,
0|0|0|0|100|4|#1,24000,0,#7,24000,281.25,#0,24093.75,0,#1,24187.5,0,#2,24281.25,0,#3,24375,0,#1,24562.5,0,#0,24656.25,0,#1,24750,0,#2,24843.75,0,#3,24937.5,0,#1,25125,0,#0,25218.75,0,#1,25312.5,0,#2,25406.25,0,
0|0|0|0|100|4|#3,25500,0,#1,25687.5,0,#0,25781.25,0,#1,25875,0,#2,25968.75,0,#3,26062.5,93.75,#0,26250,281.25,#1,26625,93.75,#3,26812.5,93.75,
1|0|0|0|100|4|#5,27000,0,#1,27000,281.25,#4,27093.75,0,#5,27187.5,0,#6,27281.25,0,#7,27375,0,#2,27375,281.25,#5,27562.5,0,#4,27656.25,0,#5,27750,0,#3,27750,281.25,#6,27843.75,0,#7,27937.5,0,#5,28125,0,#1,28125,281.25,#4,28218.75,0,#5,28312.5,0,#6,28406.25,0,
1|0|0|0|100|4|#7,28500,0,#0,28500,281.25,#5,28687.5,0,#4,28781.25,0,#5,28875,0,#1,28875,281.25,#6,28968.75,0,#7,29062.5,93.75,#4,29250,281.25,#3,29250,281.25,#5,29625,93.75,#3,29625,281.25,#7,29812.5,93.75,
0|0|0|0|100|4|#5,30000,656.25,#0,30000,93.75,#1,30187.5,0,#2,30281.25,0,#3,30375,0,#0,30562.5,93.75,#1,30750,0,#2,30843.75,0,#3,30937.5,0,#0,31125,93.75,#1,31312.5,0,#2,31406.25,0,
0|0|0|0|100|4|#3,31500,0,#0,31687.5,93.75,#0,31875,0,#1,31968.75,0,#2,32062.5,93.75,#1,32250,281.25,#3,32625,281.25,
1|0|0|0|100|4|#4,33000,93.75,#1,33000,281.25,#5,33187.5,0,#6,33281.25,0,#7,33375,0,#2,33375,281.25,#4,33562.5,93.75,#5,33750,0,#3,33750,281.25,#6,33843.75,0,#7,33937.5,0,#4,34125,93.75,#1,34125,281.25,#5,34312.5,0,#6,34406.25,0,
1|0|0|0|100|4|#7,34500,0,#0,34500,281.25,#4,34687.5,93.75,#4,34875,0,#1,34875,281.25,#5,34968.75,0,#6,35062.5,93.75,#5,35250,281.25,#3,35250,281.25,#7,35625,281.25,#3,35625,281.25,
0|0|0|0|100|4|#3,36000,0,#5,36000,468.75,#3,36187.5,0,#2,36375,93.75,#3,36562.5,0,#1,36750,93.75,#3,36937.5,0,#0,37125,93.75,#2,37312.5,0,#2,37406.25,0,
0|0|0|0|100|4|#3,37500,0,#2,37593.75,0,#3,37687.5,0,#1,37781.25,0,#0,37875,0,#1,37968.75,0,#0,38062.5,93.75,#1,38250,281.25,#3,38625,281.25,
